[20:36:21] [INFO] received Windows console close event; shutting log-core down
[20:38:20] [INFO] received Windows console close event; shutting log-core down
[20:41:51] [INFO] received Windows console close event; shutting log-core down
[20:42:45] [INFO] received Windows console close event; shutting log-core down
[20:46:10] [INFO] received Windows console close event; shutting log-core down
[20:48:41] [INFO] received Windows console close event; shutting log-core down
[20:52:52] [INFO] received Windows console close event; shutting log-core down
[20:53:00] [INFO] received Windows console close event; shutting log-core down
[20:56:10] [INFO] received Windows console close event; shutting log-core down
[21:00:51] [INFO] received Windows console close event; shutting log-core down
[21:06:50] [INFO] received Windows console close event; shutting log-core down
[21:08:36] [INFO] received Windows console close event; shutting log-core down
[21:09:45] [INFO] received Windows console close event; shutting log-core down
[21:10:53] [INFO] received Windows console close event; shutting log-core down
[21:13:39] [INFO] received Windows console close event; shutting log-core down
[21:21:29] [INFO] received Windows console close event; shutting log-core down
[21:22:43] [INFO] received Windows console close event; shutting log-core down
[21:27:59] [INFO] received Windows console close event; shutting log-core down
[21:31:01] [INFO] received Windows console close event; shutting log-core down
[21:33:47] [INFO] received Windows console close event; shutting log-core down
[22:07:42] [INFO] received Windows console close event; shutting log-core down
[22:11:11] [INFO] received Windows console close event; shutting log-core down
[22:13:20] [INFO] received Windows console close event; shutting log-core down
[22:15:39] [INFO] received Windows console close event; shutting log-core down
[22:16:43] [INFO] received Windows console close event; shutting log-core down
[22:19:19] [INFO] received Windows console close event; shutting log-core down
[22:20:00] [INFO] received Windows console close event; shutting log-core down
[22:20:57] [INFO] received Windows console close event; shutting log-core down
[22:26:17] [INFO] received Windows console close event; shutting log-core down
[22:37:17] [INFO] received Windows console close event; shutting log-core down
[23:11:27] [INFO] received Windows console close event; shutting log-core down
[23:11:54] [INFO] received Windows console close event; shutting log-core down
[23:15:17] [INFO] received Windows console close event; shutting log-core down
[23:19:20] [INFO] received Windows console close event; shutting log-core down
[23:20:14] [INFO] received Windows console close event; shutting log-core down
[23:22:47] [INFO] received Windows console close event; shutting log-core down
[07:26:29] [INFO] received Windows console close event; shutting log-core down
[12:45:54] [INFO] received Windows console close event; shutting log-core down
[12:48:36] [INFO] received Windows console close event; shutting log-core down
[12:50:13] [INFO] received Windows console close event; shutting log-core down
[12:52:55] [INFO] received Windows console close event; shutting log-core down
[13:37:35] [INFO] received Windows console close event; shutting log-core down
[13:39:41] [INFO] received Windows console close event; shutting log-core down
[13:42:08] [INFO] received Windows console close event; shutting log-core down
